Puerto,Año,Comercio_ext_porc_conteiner,Comercio_int_porc_conteiner,Comercio_ext_porc_granel,Comercio_int_porc_granel
San Nicolás,2023,0,0,78,22
San Pedro,2023,0,0,86,14
Dock Sud,2023,100,0,29,71
La Plata,2023,100,0,20,80
Mar del Plata,2023,100,0,0,100
Quequén,2023,0,0,99,1
Coronel Rosales,2023,0,0,100,0
Bahía Blanca,2023,100,0,86,14
San Nicolás,2022,0,0,77,23
San Pedro,2022,0,0,81,19
Dock Sud,2022,100,0,34,66
La Plata,2022,100,0,20,80
Mar del Plata,2022,100,0,1,99
Quequén,2022,0,0,100,0
Coronel Rosales,2022,0,0,27,73
Bahía Blanca,2022,100,0,90,10
San Nicolás,2021,0,0,92,8
San Pedro,2021,0,0,79,21
Dock Sud,2021,100,0,28,72
La Plata,2021,100,0,22,78
Mar del Plata,2021,100,0,1,99
Quequén,2021,0,0,99,1
Coronel Rosales,2021,0,0,13,87
Bahía Blanca,2021,100,0,91,9
San Nicolás,2020,0,0,88,12
San Pedro,2020,0,0,77,23
Dock Sud,2020,100,0,18,82
La Plata,2020,100,0,23,77
Mar del Plata,2020,100,0,0,100
Quequén,2020,0,0,99,1
Coronel Rosales,2020,0,0,10,90
Bahía Blanca,2020,100,0,86,14
