Puerto,Año,Buques,Carga_contenedor_TEUs,Carga_granel_toneladas,Exportacion_porc_contenedor,Importacion_porc_contenedor,Transbordo_porc_contenedor
San Nicolás,2023,290,0,1579677,0,0,0
San Pedro,2023,92,0,217746,0,0,0
Dock Sud,2023,1598,396273,5868554,46,47,7
La Plata,2023,494,6948,2836142,51,43,6
Mar del Plata,2023,2730,5188,489134,48,52,0
Quequén,2023,194,0,4301948,0,0,0
Coronel Rosales,2023,184,0,10007518,0,0,0
Bahía Blanca,2023,528,4417,9787764,52,48,0
San Nicolás,2022,445,0,2642068,0,0,0
San Pedro,2022,121,0,880195,0,0,0
Dock Sud,2022,2204,594353,7755616,46,44,10
La Plata,2022,753,13856,3974736,47,39,14
Mar del Plata,2022,3580,7921,634825,50,50,0
Quequén,2022,307,0,7553681,0,0,0
Coronel Rosales,2022,224,0,12694396,0,0,0
Bahía Blanca,2022,866,8591,17304962,48,52,0
San Nicolás,2021,462,0,2985433,0,0,0
San Pedro,2021,146,0,926705,0,0,0
Dock Sud,2021,2030,617703,6613318,43,44,13
La Plata,2021,633,7512,3385532,47,52,1
Mar del Plata,2021,3722,9073,544072,54,46,0
Quequén,2021,314,0,7528826,0,0,0
Coronel Rosales,2021,195,0,10343917,0,0,0
Bahía Blanca,2021,817,11115,17053370,52,48,0
San Nicolás,2020,284,0,3135452,0,0,0
San Pedro,2020,74,0,778849,0,0,0
Dock Sud,2020,1910,595000,5679121,21,32,40
La Plata,2020,624,4490,3468032,53,47,0
Mar del Plata,2020,3583,4933,522039,56,44,0
Quequén,2020,274,0,6448137,0,0,0
Coronel Rosales,2020,175,0,9088404,0,0,0
Bahía Blanca,2020,681,18185,12787285,41,59,0
