Sector,dolares,porc,destino,tipo,porc_2
Productos Primarios (PP),3920,14.9,total,total,1.0001020512297174
Productos Primarios (PP),641,7.6,MERCOSUR,region,0.16353709562200225
Productos Primarios (PP),454,19.9,Resto ALADI,region,0.11582814572915603
Productos Primarios (PP),931,42.3,China,region,0.23752423716705787
Productos Primarios (PP),161,8.2,Unión Europea,region,0.041075619961220534
Productos Primarios (PP),145,8.8,USMCA,region,0.03699357077252781
Productos Primarios (PP),126,7.8,Chile,region,0.0321461373609552
Productos Primarios (PP),491,37.3,ASEAN,region,0.12526788447800796
Productos Primarios (PP),17,1.7,SICA,region,0.0043371772629860195
Productos Primarios (PP),201,20.6,Medio Oriente,region,0.051280742932952345
Productos Primarios (PP),2,0.2,India,region,0.0005102561485865905
Productos Primarios (PP),337,51.0,Egipto y Magreb,region,0.0859781610368405
Productos Primarios (PP),2,0.4,Oceanía,region,0.0005102561485865905
Productos Primarios (PP),567,8.4,Brasil,pais,0.1446576181242984
Productos Primarios (PP),931,42.3,China,pais,0.23752423716705787
Productos Primarios (PP),126,7.8,Chile,pais,0.0321461373609552
Productos Primarios (PP),129,11.0,Estados Unidos,pais,0.032911521583835084
Productos Primarios (PP),252,24.9,Perú,pais,0.0642922747219104
Productos Primarios (PP),2,0.2,India,pais,0.0005102561485865905
Productos Primarios (PP),44,5.2,Uruguay,pais,0.01122563526890499
Productos Primarios (PP),161,20.3,Colombia,pais,0.041075619961220534
Productos Primarios (PP),10,1.4,Paraguay,pais,0.0025512807429329525
Productos Primarios (PP),233,37.8,Vietnam,pais,0.05944484131033779
Manuf. Origen Agropecuario (MOA),8414,32.0,total,total,1.0009993337774816
Manuf. Origen Agropecuario (MOA),1058,12.6,MERCOSUR,region,0.12586846863995432
Manuf. Origen Agropecuario (MOA),273,11.9,Resto ALADI,region,0.032478347768154565
Manuf. Origen Agropecuario (MOA),1132,51.5,China,region,0.13467212334634052
Manuf. Origen Agropecuario (MOA),1260,64.2,Unión Europea,region,0.14990006662225183
Manuf. Origen Agropecuario (MOA),291,17.7,USMCA,region,0.03461977729132959
