destino,dolares,porc,tipo
Mercosur,8387,31.9,region
Resto ALADI,2286,8.7,region
China,2199,8.4,region
Unión Europea,1962,7.5,region
USMCA,1643,6.2,region
Chile,1609,6.1,region
ASEAN,1317,5.0,region
SICA,1009,3.8,region
Medio Oriente,977,3.7,region
India,947,3.6,region
Egipto y Magreb,661,2.5,region
Oceanía,508,1.9,region
Brasil,6722,25.6,pais
China,2199,8.4,pais
Chile,1609,6.1,pais
Estados Unidos,1173,4.5,pais
Perú,1012,3.8,pais
India,947,3.6,pais
Uruguay,839,3.2,pais
Colombia,791,3.0,pais
Paraguay,750,2.9,pais
Vietnam,617,2.3,pais
Australia,411,1.6,pais
Países Bajos,360,1.4,pais
