Transporte,Mercaderia,Puerto,Año,Porcentaje
Oleoducto/gasoducto,Petróleo crudo,Total,2023,59
Oleoducto/gasoducto,Prod.Químicos y petroquímicos,Total,2023,1
Oleoducto/gasoducto,Combustibles líquidos,Total,2023,32
Oleoducto/gasoducto,Fertilizantes,Total,2023,1
Oleoducto/gasoducto,Gases,Total,2023,7
Oleoducto/gasoducto,"Granos, derivados y subproductos",Total,2023,1
Camiones,"Granos, derivados y subproductos",Total,2023,65
Camiones,Otras mercaderías,Total,2023,8
Camiones,"Arena, Canto Rod. y otros",Total,2023,13
Camiones,Contenedores,Total,2023,4
Camiones,Fertilizantes,Total,2023,10
Tren,"Arena, Canto Rod. y otros",Total,2023,16
Tren,Prod.Químicos y petroquímicos,Total,2023,83
Tren,Prod.Siderúrgicos,Total,2023,1
Oleoducto/gasoducto,Combustibles líquidos,San Nicolás,2023,53
Oleoducto/gasoducto,Prod.Químicos y petroquímicos,San Nicolás,2023,3
Oleoducto/gasoducto,Fertilizantes,San Nicolás,2023,44
Camiones,Fertilizantes,San Nicolás,2023,83
Camiones,"Granos, derivados y subproductos",San Nicolás,2023,5
Camiones,Prod.Siderúrgicos,San Nicolás,2023,6
Camiones,Prod.Químicos y petroquímicos,San Nicolás,2023,1
Camiones,Prod. Minerales,San Nicolás,2023,5
Tren,"Arena, Canto Rod. y otros",San Nicolás,2023,100
Camiones,"Granos, derivados y subproductos",San Pedro,2023,86
Camiones,"Arena, Canto Rod. y otros",San Pedro,2023,14
Camiones,Contenedores,Dock Sud,2023,30
Camiones,"Arena, Canto Rod. y otros",Dock Sud,2023,50
Camiones,Prod.Siderúrgicos,Dock Sud,2023,20
Oleoducto/gasoducto,Petróleo crudo,Dock Sud,2023,31
Oleoducto/gasoducto,Gases,Dock Sud,2023,2
Oleoducto/gasoducto,Combustibles líquidos,Dock Sud,2023,67
Oleoducto/gasoducto,Combustibles líquidos,La Plata,2023,100
Camiones,"Arena, Canto Rod. y otros",La Plata,2023,98
Camiones,Contenedores,La Plata,2023,2
Tren,Prod.Químicos y petroquímicos,La Plata,2023,100
Camiones,Contenedores,Mar del Plata,2023,1
Camiones,"Pescados, moluscos y crustáceos",Mar del Plata,2023,99
Oleoducto/gasoducto,Combustibles líquidos,Mar del Plata,2023,100
Camiones,"Granos, derivados y subproductos",Quequén,2023,95
Camiones,Fertilizantes,Quequén,2023,5
Oleoducto/gasoducto,"Granos, derivados y subproductos",Quequén,2023,67
Oleoducto/gasoducto,Fertilizantes,Quequén,2023,15
