Mercaderia,Toneladas_2023,Toneladas_2022,Toneladas_2021,Toneladas_2020
Maíz,5001566,8308128,9307767,6858675
Trigo,971612,4502160,4631711,2929097
Soja,1016277,3112563,2721874,2999223
Cebada,2628122,3605426,2679253,2282832
"Pescado, moluscos y crustáceos",269965,342639,309165,327509
Petróleo crudo,11422508,13823975,11596141,10604922
Combustibles líquidos y gases,7525347,10647715,7247817,6418929
Productos Químicos,620940,771936,652856,536692
Fertilizantes,2026867,3241215,3899321,3583316
Arenas,1841805,2746697,2406963,2112192
Productos minerales,237522,270086,256038,736674
