id,Partido,PBG,VAB,Productores de bienes,Agropecuario,Pesca,Minería,Industria,Electricidad,Construcción,Productores de servicios,Comercio,Hoteles y Restaurantes,Transp y Comunicaciones,Financiero,Inmob y empresariales,Público,Enseñanza,Salud,Comunit y Personales,Servicio Doméstico,Total de actividades,Región,longitud,latitud
7,Adolfo Alsina,598774385.057956,535813924.8420423,372329773.9054062,334154132.6046148,0.0,58217.38957234501,23624529.22091556,12398275.421154631,2094619.2691488664,163484150.9366361,52059450.30178245,1722891.8297880706,37216122.49514918,4176676.9534772295,31015774.26126855,13927360.204768447,10718944.48268039,8087298.504595241,2361266.487482246,2198365.4156442806,535813924.8420423,I,-63.05605668972841,-37.19676038238834
14,Adolfo Gonzales Chaves,333390903.18181515,295156024.50964606,195585327.63302216,170218977.7803492,0.0,10273.656983355002,14849274.858833548,4145795.800252496,6361005.536603569,99570696.87662388,23051632.25275212,689511.7123203715,21703538.841903217,3246094.3344642874,20079921.19550796,11172448.87888425,12868864.524908328,4077405.013260659,1320738.274152474,1360541.8484702166,295156024.50964606,I,-60.24828213234334,-37.96461590700076
21,Alberti,297106996.8858645,261552976.6590605,161776699.7928138,127828619.33765356,0.0,0.0,16986363.701595124,2384796.3132936466,14576920.440271508,99776276.86624674,31551940.351230003,385118.4777943498,19335948.57696739,4780888.722238767,18308397.89979418,9240265.734336635,8619244.567222554,5064336.40124792,1071403.2492915895,1418732.8861233783,261552976.6590605,I,-60.28197659181342,-35.03696851072887
28,Almirante Brown,6512979147.14841,5225971021.131308,1835859469.713443,12745526.311489984,0.0,1391224.383162656,1521623826.6724236,82154612.33178012,217944280.01458675,3390111551.417865,831752377.44218,81438143.39758247,570504684.1123055,139651766.7605554,888434953.1850358,211130821.00245684,203386087.7184152,243586229.0316312,160536237.42759255,59690251.34011027,5225971021.131308,C,-58.36737293292538,-34.8356191133834
77,Arrecifes,673295941.2278117,572677943.5273849,354418451.96051687,199427488.63687187,0.0,22259.5901306025,135070059.63097087,5487011.101853741,14411633.0006898,218259491.566868,74986651.78504151,1183508.9394359293,46781450.80213268,6262958.982263049,46054741.44379024,14627996.327746894,15004443.209900888,7437351.072425846,4192867.2372793327,1727521.7668515963,572677943.5273849,I,-60.062664147779536,-34.01181191813995
35,Avellaneda,6414182672.598868,5294341017.221577,2185999200.8461885,54159.01667604208,0.0,7336283.626290536,1783660244.4471247,185015143.7995998,209933369.95649737,3108341816.375388,816727435.9241958,75936283.83170521,587329693.0506675,199477982.0628889,669632771.5811108,205154281.80030143,186090010.0505597,193738067.0023167,145644051.69987893,28611239.371763315,5294341017.221577,C,-58.34114454504148,-34.67819930859449
42,Ayacucho,451048321.7863316,394802431.8293132,238160136.12573352,200044633.52572328,0.0,4280.69040973125,22120974.28803658,3574344.244527725,12415903.377036206,156642295.7035797,35230329.7401784,1161689.1067672588,31480610.902561814,5734770.640626618,29854622.03523878,19030471.40383524,21421557.10475585,6519744.141434038,2789109.314349936,3419391.3138317345,394802431.8293132,I,-58.44255652392404,-37.03543091226022
49,Azul,1492293658.750753,1294799950.9024506,666284911.589864,341378141.9047857,0.0,101004629.31654972,173142765.23630413,39059068.06531601,11700307.066908536,628515039.3125867,202146045.0080369,4196611.124158962,127798068.56205204,16752570.29605083,109225183.25373648,58271444.86790948,51660799.95507445,31553976.360315688,14476988.011325585,12433351.873926189,1294799950.9024506,I,-59.69647833761247,-36.78593521674873
56,Bahía Blanca,5716704740.342797,4791377136.77344,1701271422.0000498,44701350.93170828,13176467.89328675,5110975.391311125,1331768086.5017774,170132048.81884262,136382492.4631235,3090105714.773391,1090208297.458856,51236832.15937613,703966185.1775573,99124129.19029684,525478070.0329175,191896497.6423127,158556155.19787338,128973645.98829456,93496619.95059678,47169281.975309394,4791377136.77344,I,-62.16635261503095,-38.58152440589533
63,Balcarce,1096786966.1709006,947320104.8224578,562694548.9469421,345851729.9532562,0.0,12522505.061811034,149887581.40292633,22245784.97273664,32186947.55621187,384625555.87551576,141908380.67265785,3862553.9241670007,75194295.00217663,10699448.684986211,80598589.34305818,19782289.691056363,25293680.64765966,13082812.096634503,6200434.341831693,8003071.471287684,947320104.8224578,I,-58.27174756170718,-37.714619808354726
70,Baradero,681851671.5627323,569664155.0170001,332104987.5539071,143922243.0638986,0.0,83045.39394878627,156737524.07992056,18510277.32283991,12851897.69329924,237559167.463093,59324739.41991718,2384830.3816652927,48151620.80901288,7427913.569255913,57811825.327433065,17831013.99941357,21436685.293582387,9220606.998480162,10312080.563303974,3657851.1010285686,569664155.0170001,I,-59.492787138057245,-33.931961377132964
84,Benito Juárez,742501052.0074983,646128744.8238915,406453245.01296055,219643268.879179,0.0,17803882.220958132,129638581.87104918,24495953.168136124,14871558.873638086,239675499.810931,37217772.00953986,1004879.1678833008,115170079.76242256,4300431.439149015,31099023.36341965,18389123.704326607,21092082.01977077,6322218.769966442,3002691.998266125,2077197.5761866493,646128744.8238915,I,-59.88839784064821,-37.58611070590435
