Partido,Producto Bruto Geográfico,Impuestos,Valor Agregado Bruto,Total productores de bienes,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Total productores de servicios,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Enseñanza,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
Adolfo Alsina,594784215.1275284,60165079.78186971,534619135.34565866,370624127.8861417,327031415.83372945,0.0,100391.64545217842,25080935.2841601,12685568.279859845,5725816.842940126,163995007.45951694,50760437.28744462,1955763.684650479,42640554.832761556,3820562.431648862,31564219.015408587,14129954.070637586,6328822.884481597,8082571.348350016,1953498.2628748694,2758623.641258753,I,-63.05605668972841,-37.19676038238834
Adolfo Gonzales Chaves,395957091.18990135,41780326.55003347,354176764.6398679,255233447.2065387,226662029.87785834,0.0,10320.100617585445,16794015.44857644,6073283.408945329,5693798.370541015,98943317.43332918,23555188.959432274,834469.8535313895,28119344.34171166,3098181.950328661,20779986.13607422,11091537.649543524,5081672.885938915,4165128.0461788597,713103.8062667252,1504703.8043229561,I,-60.24828213234334,-37.96461590700076
Alberti,223841948.72131878,30092136.280615706,193749812.44070306,101721060.29679312,65430462.614683785,0.0,0.0,18464161.579817418,2234116.827730532,15592319.274561377,92028752.14390995,30323272.1131265,257391.50261087983,17335416.959223922,4477459.064201361,18742922.475904,9369552.952875031,4330009.987182216,4833629.181005604,782741.5413468602,1576356.3664335732,I,-60.28197659181342,-35.03696851072887
Almirante Brown,6638487975.744774,1285924089.1688113,5352563886.575962,1826290347.2930574,13057295.274062285,0.0,1563368.2430002901,1528514615.0792704,80664661.57941464,202490407.11730972,3526273539.282904,833826548.4690084,85287353.99594381,579426438.43325,137930817.37534356,931840219.1376383,218684800.63524115,254642615.84101847,263210696.19002596,157987647.55016816,63436401.65526621,C,-58.36737293292538,-34.8356191133834
Arrecifes,575150707.4359567,93097290.04257557,482053417.3933811,268029369.64083278,104927298.0698613,0.0,35970.78548593188,137650723.88342685,5784318.885945476,19631058.016113266,214024047.7525483,70381196.49741988,1192785.8173513731,45271269.090018004,6055606.997516576,48090816.59929172,15022480.304271493,13442082.606919453,7838297.1420630645,4341093.960676183,2388418.737020565,I,-60.062664147779536,-34.01181191813995
Avellaneda,6606053354.90901,1128940336.315216,5477113018.593794,2294427190.2978888,61880.12786205942,0.0,3944175.7743705167,1807151866.0214198,187360843.45789832,295908424.9163382,3182685828.295905,815567270.7801702,81916435.8524793,610313466.3295668,189541162.4563356,694398330.0673687,210328811.80250835,202493483.20744112,202148164.3521852,148081972.59944907,27896730.848400205,C,-58.34114454504148,-34.67819930859449
Ayacucho,412949460.5416976,51864076.662229285,361085383.8794683,216383704.82875562,184021935.432152,0.0,35475.34587294997,19886080.004571028,3682259.378359394,8757954.66780025,144701679.05071273,35659903.208165064,1263225.8398163586,32654757.99290086,4983503.020065284,31006924.832911126,16371558.780292582,9645923.851441547,6861818.498377565,2432593.0475094295,3821469.9792329045,I,-58.44255652392404,-37.03543091226022
Azul,1420456252.3520641,196454927.1236627,1224001325.2284014,614579464.1401007,310172201.1900305,0.0,50633762.07616057,193741473.71463045,38974840.02661169,21057187.13266754,609421861.0883007,199165256.2213777,4125106.135503754,130340396.61429109,15135370.1288485,113192251.8560575,59221647.17698117,28516418.488649357,31985785.316501793,13970395.13116642,13769234.018923558,I,-59.69647833761247,-36.78593521674873
Bahía Blanca,5912524586.068671,945598508.1171951,4966926077.951476,1793186926.4732676,50291159.02273447,16630372.479524955,5779972.996653384,1395207313.5989215,166873824.76926214,158404283.60617125,3173739151.4782085,1105729356.4133358,53797591.83551396,719957631.7669362,92174071.07062906,553259219.3643548,191365676.92181742,195183338.81815538,135631495.72669896,85273357.03557056,41367412.525196195,I,-62.16635261503095,-38.58152440589533
Balcarce,1104591181.4105508,145274754.93423212,959316426.4763187,570021102.6384486,354908947.383082,0.0,8271775.386773968,155802771.72740707,22195353.96654242,28842254.17464327,389295323.8378701,136958242.3471764,4029806.326705477,83248545.84980969,8319654.9892061995,87962469.66882953,20239624.59620225,19721692.614785675,13436984.721762657,7735362.7649264615,7642939.958465809,I,-58.27174756170718,-37.714619808354726
Baradero,616679149.1541079,110397026.96974352,506282122.1843644,277034642.61490566,73815557.3829988,0.0,115651.5821103278,164236278.250332,18683312.158807777,20183843.24065675,229247479.56945872,55503799.67094171,2977890.2085707407,47645174.07575467,6930125.359208905,60484716.87489471,18273789.03209301,16025271.79038327,9297982.25500426,8502218.009706339,3606512.292901054,I,-59.492787138057245,-33.931961377132964
Benito Juárez,747372517.5269004,93322388.77332506,654050128.7535753,428650213.51822454,192950744.40524366,0.0,71668626.6507368,127693113.422113,22346101.34731128,13991627.692819854,225399915.23535082,37740725.7384698,1028443.8017173494,112940832.51709901,3934336.017768023,31984432.601393923,18929869.318819,7996094.99103694,6504192.32689411,2012279.6535576258,2328708.268595051,I,-59.88839784064821,-37.58611070590435
Berazategui,4164477369.433457,787874760.7598867,3376602608.67357,1288865956.7242384,18231541.82029785,0.0,146732838.8755501,924853384.6746627,50780868.41484563,148267322.9388821,2087736651.9493318,467931528.48291653,46299613.57267258,354323216.5120802,76513522.80975044,549403065.7508559,146084663.40766254,162564312.99308148,167474153.27156478,80002663.78807716,37139911.36066979,C,-58.155461508690685,-34.81824477056139
Berisso,992021486.4679871,193380073.93942064,798641412.5285664,233969954.97861624,1611008.7663820884,0.0,6814730.228879342,176845831.3810136,19410796.395537104,29287588.20680409,564671457.5499501,115545180.31866223,6983007.4822471645,86397161.1316,12789121.852155115,155796911.33850807,63888682.378662705,38447964.50002667,42671765.351449534,32944308.965424404,9207354.23121428,I,-57.828379772406,-34.90935511449816
Bolívar,717661457.6750188,90785119.15037018,626876338.5246487,338980686.56645894,262217615.44274884,0.0,69426.131427393,46181551.70216635,17619813.99129964,12892279.29881667,287895651.9581897,94312539.1805729,2462639.358582392,60448063.36812948,8719572.275406145,58252675.39767885,28675462.01073843,13933446.655285042,12122063.626836535,4490904.953046468,4478285.13191356,I,-61.14986008524724,-36.29894795840004
Bragado,766244887.0951265,120764988.36414802,645479898.7309785,335089181.14101934,134031856.56644481,0.0,93654.91310458792,143591878.10920164,20298106.5380603,37073685.014207944,310390717.5899591,89869240.78832291,2550368.958868028,62264264.84686613,10851295.799384445,76746591.3772153,25790662.34171898,17486494.74232624,15106439.869474847,4638026.95592836,5087331.909853804,I,-60.60404665279604,-35.06141227089899
Brandsen,597278658.4807036,98098282.32350749,499180376.15719604,270593791.9038403,56831593.09042268,0.0,289628.9078528768,157310768.90093374,9071148.064498255,47090652.94013274,228586584.25335577,59564577.960335016,1801543.2686708625,59531073.55151947,5463598.042787262,48770481.0818697,19231584.9838715,16601628.873000262,8805473.290431213,5807215.592224577,3009407.6086459123,I,-58.17523390391321,-35.22251979918446
Campana,5385368162.894897,1023230857.0947827,4362137305.800115,3291683113.010189,28121743.344047993,0.0,10196978.871605076,3039411527.4676056,101351724.10439537,112601139.22253537,1070454192.7899258,233291151.82310972,14807648.74725052,422575874.0578123,21239189.746668894,188121424.65561694,55287682.284677625,62269470.7407348,48095707.12768091,16573767.338393424,8192276.267980539,I,-58.88295737874431,-34.138388959457686
Cañuelas,1028792077.0974469,171846242.2876976,856945834.8097494,388978205.9832949,60418557.5416833,0.0,3677403.3492208994,221203574.98762113,9040082.027926406,94638588.07684322,467967628.82645446,162445457.49239877,13268193.442729177,81572023.34971297,10346751.504744569,109012121.28632037,22279081.568222784,35849712.82223651,15940315.603614723,11366519.5697189,5887452.1867556935,I,-58.69109418469528,-35.14480449594918
