Partido,Producto Bruto Geográfico,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
Total Provincia,68352395.6051496,4634734.686553702,97335.31589020956,132730.67091663624,14368361.52882463,1136009.058846278,3337228.520791348,10912296.224279052,1021245.624455996,3365804.792656323,1057425.7688704885,5903242.360645535,2962001.0826321086,2890529.3077084683,1587531.4330225713,478300.2105421782,,,
La Matanza,4986948.113429512,694.4332804179198,0.0,1678.863250010938,1243066.7644554242,35333.033505686224,79900.00269637215,765668.4785515987,55038.15643538594,249182.7061546869,71810.71138340178,517581.0813206252,244526.52751394745,242592.85525159704,126001.62140931375,36628.56162941264,C,-58.62544569444762,-34.770348101664
General Pueyrredon,2604758.684863126,84685.64874846526,91180.03004189192,3232.0641805267524,379066.09130846174,36117.97369192454,65661.38463132732,584790.8774332473,93348.95274438483,120953.08554486072,41605.02934440154,231596.445055684,122529.6373408459,135672.48764135933,73872.64935302756,12553.332591398974,I,-57.74302834770776,-37.96568314236043
La Plata,2421004.368770244,27276.218318489624,0.0,1817.204951668996,225777.6560181421,34139.363264082145,59588.80100445143,458786.7074755754,48609.00842275611,90818.84426001189,71734.23027542423,253871.48427275952,283101.8201034261,150686.08408515865,85388.25769774933,18861.44511102481,C,-58.01777778856708,-35.003847015806244
Lomas de Zamora,2277721.426438541,71.27334810048285,0.0,188.514745200712,528437.4702202217,22513.393455595346,42584.26600359279,361781.89534064353,36905.46909185298,97267.45292704747,52992.05016424281,245899.833209298,115651.55773434526,128418.04199933636,67479.01030751609,17723.091804890937,C,-58.42409543043943,-34.75496795553667
Tigre,2088083.8319004043,72.07860422152501,0.0,196.44957777403096,627851.7012404896,10439.798499938954,175899.20112247215,356735.1567538104,46404.5946388594,103771.18250851551,23501.01787112065,152674.97839978582,39865.03691674529,54028.500045725,50431.95757677806,19248.23366531892,C,-58.588173872599945,-34.38201990803981
Quilmes,2078416.496433132,6.178150190183128,0.0,235.70115533241824,451555.4264747527,29242.49564881242,47420.40644152917,338404.9044925816,43064.56435923368,87357.47985771713,46629.72968128408,232734.8077258062,105707.27928347683,120191.74871328306,59351.15740099125,14653.940349679162,C,-58.27685802099024,-34.73497079923798
Pilar,1940472.305815535,2990.480250177882,0.0,77.79609963299058,394297.5374381436,8380.070474070095,566617.2142581318,237191.38238517512,36840.37662122885,64080.12048777087,13873.634039503448,126195.58604545674,35038.35942086623,62695.91888147588,32650.820302504773,16543.858407652806,I,-58.90333273036289,-34.44816400539137
General San Martín,1835619.2259550013,0.0,0.0,105.8353388544708,515975.1583571177,13684.447965376508,44419.5542983427,319963.464741572,22308.44762603692,76544.71020603669,33746.939499846194,162627.88615317427,74788.80741184055,102431.86780040158,58039.20658184711,12025.03602943629,C,-58.56428216799652,-34.552771927080705
Almirante Brown,1758170.9800166471,4441.531320748894,0.0,128.83035614977646,384481.3960707165,18720.936351793083,53982.37551910939,271458.0439481464,33040.265305539506,78697.13995086591,33394.65971550575,203443.89705778664,74803.08746153532,104975.95653528124,56852.49969480382,16704.234149677188,C,-58.36737293292538,-34.8356191133834
Avellaneda,1714437.2317192666,14.34352132359206,0.0,510.224343409848,402123.16005280655,61977.4477632922,78855.61221945642,264368.36478541687,32216.550018985177,110222.644556589,46080.69574408445,155328.11100598247,71777.31175761814,79876.65457865129,50603.74989365567,7345.837909195392,C,-58.34114454504148,-34.67819930859449
Lanús,1721856.125597763,0.0,0.0,150.72519334741307,389680.9262481896,21111.021763868284,39334.65779541823,306873.28595087846,27587.25816076638,71182.18779079829,49038.04433332005,190494.6739508768,80637.27159888681,101068.24212303804,59417.04153696352,9811.22186502124,C,-58.39469650482231,-34.705654244172585
Merlo,1672141.113433012,1565.409600617349,0.0,68.10142275346251,416852.96450689423,13662.657468150075,24380.965952962724,241024.9053697931,21204.943157524543,76338.01649873145,19900.759875837088,176909.5841052014,90884.72639265316,99240.131373577,44783.6048248989,17358.315607345274,C,-58.74195841400745,-34.71100327848002
