id,Partido,Cantidad de habitantes,Superficie Km2,Densidad hab/km2,Región,nam,longitud,latitud
7,Adolfo Alsina,17552.0,5877.86,2.99,I,Adolfo Alsina,-63.05605668972841,-37.19676038238834
14,Adolfo Gonzales Chaves,12914.0,3859.16,3.35,I,Adolfo Gonzales Chaves,-60.24828213234334,-37.96461590700076
21,Alberti,12982.0,1124.98,11.54,I,Alberti,-60.28197659181342,-35.03696851072887
28,Almirante Brown,584827.0,129.33,4521.97,C,Almirante Brown,-58.36737293292538,-34.8356191133834
77,Arrecifes,32215.0,1240.67,25.97,I,Arrecifes,-60.062664147779536,-34.01181191813995
35,Avellaneda,367554.0,52.48,7003.7,C,Avellaneda,-58.34114454504148,-34.67819930859449
42,Ayacucho,21977.0,6748.9,3.26,I,Ayacucho,-58.44255652392404,-37.03543091226022
49,Azul,75905.0,6540.25,11.61,I,Azul,-59.69647833761247,-36.78593521674873
56,Bahía Blanca,336571.0,2247.49,149.75,I,Bahía Blanca,-62.16635261503095,-38.58152440589533
63,Balcarce,48982.0,4115.27,11.9,I,Balcarce,-58.27174756170718,-37.714619808354726
70,Baradero,40002.0,1591.87,25.13,I,Baradero,-59.492787138057245,-33.931961377132964
84,Benito Juárez,22292.0,5071.94,4.4,I,Benito Juárez,-59.88839784064821,-37.58611070590435
91,Berazategui,358712.0,221.01,1623.06,C,Berazategui,-58.155461508690685,-34.81824477056139
98,Berisso,100930.0,137.59,733.56,I,Berisso,-57.828379772406,-34.90935511449816
105,Bolívar,37592.0,4912.16,7.65,I,Bolívar,-61.14986008524724,-36.29894795840004
112,Bragado,46504.0,2211.87,21.02,I,Bragado,-60.60404665279604,-35.06141227089899
119,Brandsen,32448.0,1126.02,28.82,I,Brandsen,-58.17523390391321,-35.22251979918446
126,Campana,110566.0,954.54,115.83,I,Campana,-58.88295737874431,-34.138388959457686
134,Cañuelas,70684.0,1190.11,59.39,I,Cañuelas,-58.69109418469528,-35.14480449594918
140,Capitán Sarmiento,15965.0,548.89,29.09,I,Capitán Sarmiento,-59.85401478492415,-34.14984452746545
147,Carlos Casares,23100.0,2520.39,9.17,I,Carlos Casares,-61.37437778676063,-35.74992221420362
154,Carlos Tejedor,14079.0,3910.74,3.6,I,Carlos Tejedor,-62.42978957905897,-35.37974493759686
161,Carmen de Areco,17499.0,1061.31,16.49,I,Carmen de Areco,-59.88441348822714,-34.40679778852173
168,Castelli,9594.0,2063.19,4.65,I,Castelli,-57.657425194384295,-36.04148974406188
210,Chacabuco,52731.0,2287.38,23.05,I,Chacabuco,-60.3543081129856,-34.6182002951859
218,Chascomús,42452.0,3127.8,13.57,I,Chascomús,-57.90398106850184,-35.61868830875692
224,Chivilcoy,70839.0,2057.09,34.44,I,Chivilcoy,-59.95841948813504,-34.91548732859283
175,Colón,27504.0,994.57,27.65,I,Colón,-61.06311193983571,-33.885921464951416
182,Coronel de Marina L. Rosales,67503.0,1622.6,41.6,I,Coronel de Marina L. Rosales,-61.83558441965541,-38.849077328128345
189,Coronel Dorrego,15968.0,5831.5,2.74,I,Coronel Dorrego,-61.09555057289474,-38.67081760804668
196,Coronel Pringles,24420.0,5257.14,4.65,I,Coronel Pringles,-61.264417452992376,-38.147917268965685
203,Coronel Suárez,42110.0,6006.83,7.01,I,Coronel Suárez,-61.88909224221714,-37.53485625022395
231,Daireaux,18422.0,3827.47,4.81,I,Daireaux,-61.89124955261026,-36.640869217651705
238,Dolores,32032.0,1973.14,16.23,I,Dolores,-57.63192612444682,-36.398937673186566
