Región,id,Partido,Total de actividades,Productores de bienes,Agropecuario,Pesca,Minería,Industria,Electricidad,Construcción,Productores de servicios,Comercio,Hoteles y Restaurantes,Transp y Comunicaciones,Financiero,Inmob y empresariales,Público,Enseñanza,Salud,Comunit y Personales,longitud,latitud
I,7,Adolfo Alsina,4039,910,447,0,16,286,95,63,3129,536,63,128,68,143,1851,159,64,113,-63.05605668972841,-37.19676038238834
I,14,Adolfo Gonzales Chaves,2832,576,335,1,5,160,37,36,2256,234,27,124,58,92,1485,170,31,32,-60.24828213234334,-37.96461590700076
I,21,Alberti,2682,537,285,0,0,204,22,25,2144,420,17,111,58,65,1228,122,66,53,-60.28197659181342,-35.03696851072887
C,28,Almirante Brown,130493,27465,310,47,236,18956,916,6997,102992,14650,5222,14588,3206,13007,28103,8650,8523,7039,-58.36737293292538,-34.8356191133834
I,77,Arrecifes,6203,2264,687,0,7,1354,45,168,3938,916,56,259,115,276,1946,162,95,110,-60.062664147779536,-34.01181191813995
C,35,Avellaneda,103122,18387,191,46,302,13015,1133,3698,84712,11814,4578,11498,4387,11659,22721,6044,5641,6365,-58.34114454504148,-34.67819930859449
I,42,Ayacucho,4912,1192,693,0,2,391,39,64,3718,461,69,126,85,107,2530,159,80,98,-58.44255652392404,-37.03543091226022
I,49,Azul,17056,3862,1213,0,116,1840,221,470,13192,1973,169,657,324,623,6820,1043,788,793,-59.69647833761247,-36.78593521674873
I,56,Bahía Blanca,88829,16313,820,247,687,8237,1016,5304,72495,14442,2093,9902,1694,6142,20338,7534,5128,5219,-62.16635261503095,-38.58152440589533
I,63,Balcarce,10984,3900,1858,7,36,1494,191,310,7083,1539,185,347,130,682,2632,581,665,319,-58.27174756170718,-37.714619808354726
I,70,Baradero,9135,3640,385,1,59,2500,144,548,5494,751,84,385,145,512,2372,423,197,621,-59.492787138057245,-33.931961377132964
I,84,Benito Juárez,5124,1252,659,1,67,355,75,92,3865,535,55,141,75,166,2445,180,68,198,-59.88839784064821,-37.58611070590435
C,91,Berazategui,77509,17159,217,36,239,12129,502,4034,60338,7794,2897,8275,1760,7250,18782,5245,4659,3671,-58.155461508690685,-34.81824477056139
I,98,Berisso,25552,5343,33,8,695,2517,209,1879,20204,1963,422,1279,274,1798,8141,1637,2437,2248,-57.828379772406,-34.90935511449816
I,105,Bolívar,7930,1629,879,0,9,473,137,130,6301,1083,90,331,173,247,3767,307,103,196,-61.14986008524724,-36.29894795840004
I,112,Bragado,9282,2631,541,1,10,1816,142,119,6651,1155,87,557,210,473,3371,294,240,261,-60.60404665279604,-35.06141227089899
I,119,Brandsen,6995,2230,282,0,20,1748,78,101,4764,769,64,397,104,200,2446,406,203,171,-58.17523390391321,-35.22251979918446
I,126,Campana,29441,10482,153,1,742,7020,376,2187,18957,2397,621,3519,369,3027,5770,1368,880,1003,-58.88295737874431,-34.138388959457686
I,134,Cañuelas,12003,4164,508,2,64,3011,82,495,7835,1391,218,842,185,932,2867,648,328,421,-58.69109418469528,-35.14480449594918
I,140,Capitán Sarmiento,3729,1537,408,0,0,1033,32,63,2192,298,19,248,74,178,1143,84,66,77,-59.85401478492415,-34.14984452746545
I,147,Carlos Casares,4902,1134,676,0,3,323,50,80,3767,872,34,163,110,172,2144,106,64,100,-61.37437778676063,-35.74992221420362
I,154,Carlos Tejedor,2323,583,386,0,0,97,69,29,1740,125,9,70,50,53,1309,67,27,27,-62.42978957905897,-35.37974493759686
I,161,Carmen de Areco,3630,1147,406,0,1,646,40,52,2483,577,50,133,81,144,1208,25,222,41,-59.88441348822714,-34.40679778852173
I,168,Castelli,2380,565,329,0,14,109,49,62,1814,222,68,43,20,47,1270,18,39,83,-57.657425194384295,-36.04148974406188
I,210,Chacabuco,11019,3392,1047,0,10,1900,176,258,7627,1285,91,746,196,523,3848,451,283,200,-60.3543081129856,-34.6182002951859
I,218,Chascomús,10955,2127,583,3,13,1174,87,265,8828,1424,430,516,200,424,4796,507,227,300,-57.90398106850184,-35.61868830875692
I,224,Chivilcoy,14461,3829,758,1,16,2589,171,293,10630,1847,254,739,424,602,4903,801,527,528,-59.95841948813504,-34.91548732859283
I,175,Colón,5629,2404,408,1,0,1770,92,131,3224,622,33,121,102,171,1710,249,90,123,-61.06311193983571,-33.885921464951416
I,182,Coronel de Marina L. Rosales,19080,1142,68,71,45,523,170,263,17935,1336,264,561,150,518,13530,689,492,392,-61.83558441965541,-38.849077328128345
I,189,Coronel Dorrego,3474,672,465,0,11,96,62,36,2801,545,58,142,66,107,1512,193,74,100,-61.09555057289474,-38.67081760804668
I,196,Coronel Pringles,5173,1188,748,0,29,215,61,133,3984,737,60,270,88,158,2225,214,97,132,-61.264417452992376,-38.147917268965685
I,203,Coronel Suárez,9391,2620,1120,0,19,1234,114,131,6770,1380,115,418,169,300,3476,480,218,212,-61.88909224221714,-37.53485625022395
I,231,Daireaux,3970,996,675,0,2,253,24,40,2974,530,24,152,87,137,999,63,41,937,-61.89124955261026,-36.640869217651705
I,238,Dolores,8043,615,251,1,7,157,66,131,7423,786,152,272,126,265,5007,400,214,198,-57.63192612444682,-36.398937673186566
I,245,Ensenada,16198,3876,21,21,371,2093,128,1240,12321,1259,309,850,161,1030,5779,910,1345,675,-57.9791090926287,-34.842149742301714
I,252,Escobar,59643,18947,499,13,132,15751,250,2300,40683,6733,1852,5787,744,6176,10706,3646,1861,3174,-58.77117861087306,-34.32868283418624
C,260,Esteban Echeverría,68459,15558,193,22,96,10451,324,4469,52887,7786,2478,9647,1301,6700,15275,3996,2786,2915,-58.47694792917772,-34.831213565763235
I,266,Exaltación de la Cruz,7307,2303,355,2,22,1550,81,291,5000,592,134,461,127,659,1994,359,197,473,-59.15594613160004,-34.2951342237252
C,270,Ezeiza,44097,10213,144,16,53,6808,132,3057,33870,3647,1758,5149,493,4709,12838,1898,1376,1998,-58.56470137312473,-34.876096843879324
C,274,Florencio Varela,85859,22621,336,29,131,12472,451,9199,63228,8168,4048,8364,1156,9213,19206,4133,4798,4138,-58.25855488579655,-34.87774482410565
I,277,Florentino Ameghino,2327,713,465,0,1,158,31,55,1613,216,12,89,49,65,1044,67,27,40,-62.401716264561934,-34.87410580562333
I,280,General Alvarado,6932,786,404,18,6,216,67,72,6145,824,390,226,94,261,3067,433,220,626,-58.07180537257197,-38.20262771283584
I,287,General Alvear,2862,534,411,0,0,73,27,22,2328,123,11,55,31,44,1939,70,29,21,-60.13315310376701,-36.03471064969906
I,294,General Arenales,3477,823,413,0,2,313,42,51,2653,551,9,153,68,82,1418,209,58,102,-61.28376094504496,-34.237702723957625
I,301,General Belgrano,4181,906,548,1,2,235,33,85,3274,562,36,154,66,167,1914,191,82,99,-58.69807996864791,-35.83466234713038
