Partido,Total de actividades,Productores de bienes,Agropecuario,Pesca,Minería,Industria,Electricidad,Construcción,Productores de servicios,Comercio,Hoteles y Restaurantes,Transp y Comunicaciones,Financiero,Inmob y empresariales,Público,Enseñanza,Salud,Comunit y Personales
Adolfo Alsina,4180,949,438,0,20,305,96,88,3230,581,73,153,66,136,1882,162,63,110
Adolfo Gonzales Chaves,2938,618,318,0,6,177,37,77,2320,263,44,128,62,100,1477,177,32,32
Alberti,2706,546,276,0,0,218,19,31,2160,424,12,116,58,60,1248,126,60,52
Almirante Brown,136517,28988,326,44,265,19825,900,7626,107430,15536,6214,14974,3287,13697,29167,8788,8636,7127
Arrecifes,6394,2357,732,0,7,1428,47,142,4037,938,54,263,120,274,2002,171,103,108
Avellaneda,106433,18853,201,44,334,13313,1133,3826,87496,12396,5293,11653,4369,12115,23361,6156,5671,6478
Ayacucho,5051,1189,689,0,6,390,39,63,3861,510,75,145,79,114,2181,167,484,102
Azul,17529,4029,1195,0,133,2025,221,452,13498,2073,199,690,321,647,6925,1060,778,800
Bahía Blanca,91158,17796,822,238,768,8813,1031,6123,73333,15034,2248,9801,1695,6330,20285,7565,5158,5212
Balcarce,11301,4008,1892,8,38,1568,187,314,7292,1549,214,387,132,716,2698,620,660,311
Baradero,9390,3776,390,2,62,2630,142,547,5612,766,105,409,141,530,2436,431,190,599
Benito Juárez,5340,1297,645,1,68,386,80,115,4036,575,72,155,77,172,2521,187,181,92
Berazategui,80852,17888,222,32,262,12503,504,4363,62931,8113,3474,8549,1825,7623,19481,5296,4846,3719
Berisso,26812,5852,31,7,735,2505,212,2359,20954,2089,476,1311,284,1822,8514,1700,2450,2304
Bolívar,8133,1701,889,0,11,493,133,173,6431,1146,96,352,180,234,3820,292,108,200
Bragado,9548,2745,515,1,12,1935,140,141,6802,1178,109,580,201,475,3437,323,227,267
Brandsen,7233,2259,288,0,27,1735,80,127,4972,806,77,395,108,209,2563,415,212,184
Campana,30818,11138,143,1,754,7543,381,2312,19678,2534,638,3671,362,3231,5956,1432,905,945
Cañuelas,12722,4351,511,0,60,3153,87,538,8362,1488,274,916,197,988,2972,675,421,427
Capitán Sarmiento,3802,1558,402,0,1,1074,32,48,2243,309,30,257,73,171,1151,96,74,76
Carlos Casares,5104,1301,699,0,4,334,50,213,3801,828,37,189,114,193,2154,112,66,105
Carlos Tejedor,2403,572,375,0,1,97,68,29,1830,134,15,74,54,52,1371,69,28,29
Carmen de Areco,3730,1158,381,0,1,677,42,55,2569,556,52,156,81,148,1281,29,221,41
Castelli,2467,601,329,0,15,102,49,104,1865,240,82,51,20,48,1279,20,36,87
Chacabuco,11248,3379,982,0,14,1965,186,231,7867,1350,109,787,189,522,3919,503,277,208
Chascomús,11499,2314,582,2,17,1310,91,309,9185,1476,456,638,204,445,4922,513,227,302
Chivilcoy,14829,3923,754,1,12,2702,171,281,10903,1901,280,811,422,634,4980,809,535,527
Colón,5760,2450,406,1,4,1784,91,161,3309,626,30,132,103,176,1754,259,100,126
Coronel de Marina L. Rosales,19469,1325,65,67,53,595,176,368,18137,1464,305,609,146,543,13406,692,531,437
Coronel Dorrego,3584,706,483,0,12,106,60,44,2877,564,63,152,65,110,1550,199,75,95
Coronel Pringles,5319,1199,734,0,34,238,56,134,4119,779,69,284,98,167,2264,219,105,129
Coronel Suárez,9634,2671,1139,0,21,1265,113,132,6962,1449,126,450,163,312,3551,477,225,204
Daireaux,4049,1017,684,0,2,253,25,50,3032,554,39,162,89,119,1036,62,43,925
Dolores,8336,637,258,1,8,162,68,139,7691,839,209,279,128,270,5138,411,217,196
Ensenada,17117,4314,18,19,387,2033,132,1723,12800,1358,352,879,164,1062,6037,940,1325,678
Escobar,62591,20008,511,13,137,16578,249,2515,42555,7124,2046,6052,750,6315,11380,3814,2071,2998
Esteban Echeverría,71536,16132,202,23,106,10885,334,4579,55379,8376,2878,10085,1312,7044,15707,4076,2880,3016
Exaltación de la Cruz,7642,2437,357,3,25,1647,83,320,5198,643,143,492,126,719,1998,368,235,470
Ezeiza,46304,11042,142,14,68,7424,130,3263,35237,3935,1957,5324,485,4866,13290,1995,1399,1984
Florencio Varela,94463,24271,344,25,139,12949,468,10343,70139,8709,4817,8714,1209,9695,23499,4232,5048,4211
Florentino Ameghino,2381,682,440,0,2,150,31,57,1698,285,18,97,49,67,1035,73,28,43
General Alvarado,7223,824,410,16,11,229,68,87,6396,892,454,247,95,295,3151,436,213,608
General Alvear,3101,530,409,0,0,68,27,23,2569,139,13,61,32,43,2162,65,29,21
General Arenales,3528,789,377,0,1,315,44,50,2565,490,15,142,68,79,1445,176,76,70
General Belgrano,4297,904,539,2,2,239,35,85,3393,605,50,179,66,168,1940,200,87,94
General Guido,824,152,116,1,0,14,8,12,672,71,13,58,1,30,469,12,9,5
General Juan Madariaga,5243,794,421,0,8,148,123,92,4447,775,424,249,52,322,2032,187,104,297
General La Madrid,2739,601,511,1,2,30,22,33,2138,264,19,83,52,60,1555,18,44,39
General Las Heras,3801,1435,158,0,9,1153,30,84,2365,232,20,221,63,124,1377,181,102,41
General Lavalle,1229,186,81,28,0,21,34,20,1043,104,32,25,8,30,510,5,8,317
General Paz,2815,714,259,0,4,247,47,155,2100,322,19,98,38,92,1287,125,54,60
General Pinto,2694,614,445,0,0,81,46,41,2079,279,10,115,38,54,1464,32,42,41
General Pueyrredon,172377,31736,2399,2657,302,19872,962,5542,140555,26778,12188,10718,3345,11260,37984,14873,11235,12170
General Rodríguez,22749,7393,356,1,24,5586,90,1334,15344,2420,532,2466,199,1688,4531,939,1803,762
General San Martín,111139,30153,220,26,192,25738,573,3401,80880,15759,3672,9576,2919,9635,19671,7856,5748,6039
General Viamonte,4262,859,492,0,2,217,83,64,3402,459,17,144,71,102,2237,76,114,177
General Villegas,6829,1803,1140,0,13,432,117,99,5026,988,83,362,124,244,2803,219,92,106
Guaminí,2734,557,386,0,7,42,44,75,2176,290,14,112,56,70,1554,21,28,27
Hipólito Yrigoyen,2372,535,381,0,2,44,66,40,1836,233,12,92,48,68,1190,121,31,37
Hurlingham,47522,10818,93,11,83,8720,244,1663,36683,6149,1502,4813,1175,3963,10856,3389,2640,2191
Ituzaingó,43497,7775,87,7,109,6040,281,1249,35697,6331,1560,4581,1470,3447,10389,3314,2579,2021
José C. Paz,67881,18806,235,6,58,13739,353,4413,49041,7207,2417,6713,694,6889,15260,3949,3065,2843
Junín,24516,3772,442,3,46,2253,223,802,20739,4465,419,1224,663,1061,7978,1642,2369,914
La Costa,17268,1283,54,24,14,517,363,309,15981,2764,1260,582,224,736,7893,606,318,1594
