,links,usuario,fecha,retweet,texto,comentarios,retweets,likes,quotes,hora,cuenta,autor
0,https://twitter.com/CFKArgentina/status/1832119857090883815#m,Cristina Kirchner,2024-09-06,False,"ay presidente! ve que tengo razon! no hace mas que seguir confirmando lo dicho: se la pasa boludeando en las redes. largue twitter y pongase a gestionar el estado, que los argentinos la estan pasando muy pero muy mal. fin.",8889,11676,64103,2394, 6:13 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
1,https://twitter.com/CFKArgentina/status/1832091954865123721#m,Cristina Kirchner,2024-09-06,False,".@jmilei hablar de economia diciendo cualquier cosa en los set de television o escribir plagiando libros, es una cosa. gobernar la argentina, es otra muy distinta. y de esto, por como estan viviendo los argentinos, se ve a la legua que vos no tenes ni idea. cuando quieras -porque tiempo tenes... y lo dedicas a boludear en las redes- te espero en el patria y te explico un poquito. saludos cordiales... a vos y a todas las ""fuerzas del cielo"". dios mio!",9113,14280,67675,4745, 4:22 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
2,https://twitter.com/CFKArgentina/status/1831995825880265209#m,Cristina Kirchner,2024-09-06,False,"a nueve meses de la llegada de milei y ""las fuerzas del cielo""... es la economia bimonetaria, estupido. aportes para un debate argentino. https://drive.google.com/file/d/1-uk9rw27nktvfyzbttofkzq1xqfgghu3/view?usp=drive_link",6116,7636,32373,1356, 10:00 AM UTC,CFKArgentina,Cristina Fernández de Kirchner
3,https://twitter.com/CFKArgentina/status/1828113763243004255#m,Cristina Kirchner,2024-08-26,False,pericia psiquiatrica le vamos a pedir a los que dicen que villarruel es peronista.,5563,12215,57823,2672, 4:54 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
5,https://twitter.com/CFKArgentina/status/1823785491755360343#m,Cristina Kirchner,2024-08-14,False,gracias por el afecto y por estar siempre.,2095,4755,28133,369, 6:15 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
6,https://twitter.com/CFKArgentina/status/1823691181076713638#m,Cristina Kirchner,2024-08-14,False,a partir de las 9:30 estare declarando en el juicio oral que se sigue a los autores materiales del intento de asesinato a mi persona. lo pueden ver en vivo. https://piped.video/live/f15xu0d_6lw?si=wct19sjmttrjbeks,1048,1920,6851,106, 12:00 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
7,https://twitter.com/CFKArgentina/status/1823456020703928676#m,Cristina Kirchner,2024-08-13,False,"manana ire a declarar al juicio oral que se le sigue a los autores materiales del intento de asesinato a mi persona perpetrado el 1 de septiembre del 2022. ?de los autores intelectuales y de los financiadores?... bien, gracias... duermen protegidos por comodoro py. de lo poco que se ha publicado sobre dicho proceso en los medios de comunicacion hegemonicos (que claramente lo han invisibilizado), siempre dirigen sus cronicas a acusar a la custodia que tenia como vicepresidenta como responsable del hecho. no me extrana. la hiperbole argentina a full en toda cuestion sobre mi persona. cuando despues del atentado, lei en la tapa de clarin ""la bala que no salio, pero el fallo que si saldra"" (haciendo referencia a la ""causa vialidad""), siempre pense, que si la bala hubiera salido, ese diario habria titulado... ""finalmente, cristina no supo esquivar la bala"". quiero compartir con ustedes una mirada despojada de cualquier subjetividad a traves de este video.",3264,6017,18692,529, 8:26 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
8,https://twitter.com/CFKArgentina/status/1821941987865395472#m,Cristina Kirchner,2024-08-09,False,"alberto fernandez no fue un buen presidente. tampoco lo fueron mauricio macri o fernando de la rua, solo por mencionar a los que desempenaron su mandato en lo que va del siglo xxi. seguramente la lista seria mas larga si extendieramos la cronologia. pero las imagenes que vimos ayer por la noche transmitidas por los medios de comunicacion en virtual cadena nacional, en lo que constituye una verdadera revictimizacion de la denunciante, son otra cosa. las fotos de la sra. fabiola yanez con hematomas en su cuerpo y rostro junto a los chats publicados que revelan el dialogo entre ella y el ex presidente, no solo muestran la golpiza recibida, sino que delatan los aspectos mas sordidos y oscuros de la condicion humana. permiten comprobar, una vez mas y dramaticamente, la situacion de la mujer en cualquier relacion, se desarrolle esta en un palacio o en una choza. la misoginia, el machismo y la hipocresia, pilares en los que se asienta la violencia verbal o fisica contra la mujer, no tienen bandera partidaria y atraviesan a la sociedad en todos sus estamentos. en lo personal y como mujer que ha sido objeto (y lo sigue siendo) de las peores violencias verbales y politicas, hasta la maxima experiencia de violencia fisica, como fue el intento de asesinato del 1 de septiembre del 2022, expreso mi solidaridad con todas las mujeres victimas de cualquier tipo de violencia, sin olvidar las palabras que francisco me dijo al dia siguiente de aquel hecho: ""toda violencia fisica siempre es precedida de violencia verbal"".",20462,12482,73348,6908, 4:09 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
9,https://twitter.com/CFKArgentina/status/1821164214288777697#m,Cristina Kirchner,2024-08-07,False,"ayer, durante dos horas, compartimos un encuentro con la dra. @claudiashein quien no solo es la primera mujer electa presidenta de mexico, sino la mas votada en la historia de su pais. tendra la enorme responsabilidad de continuar con el virtuoso proceso de transformacion iniciado por andres manuel lopez obrador. claudia es una militante politica preparada, sensible y valiente a quien le deseo el mayor de los exitos y mucha mucha fuerza... como mujer y expresidenta se que la va a necesitar.",1972,2569,12149,165, 12:39 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
10,https://twitter.com/CFKArgentina/status/1820919293497717198#m,Cristina Kirchner,2024-08-06,False,"recien con clara brugada, economista, ex alcaldesa de iztapalapa y jefa de gobierno electa de la ciudad de mexico. como militantes politicas compartimos experiencias y reunion de trabajo. gracias @clarabrugadam por el afecto.",1618,1828,8089,133, 8:26 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
11,https://twitter.com/CFKArgentina/status/1820601840934715422#m,Cristina Kirchner,2024-08-05,False,"recien con la querida alicia barcena, secretaria de relaciones exteriores de mexico y futura secretaria de ambiente del gobierno de claudia sheinbaum. en las fotos vas a ver ademas, la vista espectacular de la ciudad de mexico desde el piso 22 de la cancilleria y un verdadero regalo a los ojos: tapiz de carlos merida en el que se aprecia el perfil de una madre de plaza de mayo con su panuelo blanco.",844,1924,8769,69, 11:24 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
12,https://twitter.com/CFKArgentina/status/1820580541047140803#m,Cristina Kirchner,2024-08-05,False,"quiero compartir con ustedes el discurso que hoy pronuncio el jefe de gobierno de la ciudad de mexico, marti batres guadarrama. escuchalo... casi casi que me lo llevo de candidato a la argentina...",1207,2622,9292,172, 10:00 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
14,https://twitter.com/CFKArgentina/status/1820566569228853508#m,Cristina Kirchner,2024-08-05,False,"gracias a la ciudad de mexico por este reconocimiento. como argentina y como militante politica, pero tambien desde lo personal. ademas, quiero agradecer al jefe de gobierno, marti batres guadarrama, por sus palabras y por reconocer el proceso politico y de gobierno que iniciamos junto a nestor el 25 de mayo de 2003.",558,1771,6625,45, 9:04 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
15,https://twitter.com/CFKArgentina/status/1820547897752183165#m,Cristina Kirchner,2024-08-05,False,"gracias marti batres guadarrama, jefe de gobierno de la ciudad de mexico, por este reconocimiento.",516,1511,5448,44, 7:50 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
16,https://twitter.com/CFKArgentina/status/1820263919727861983#m,Cristina Kirchner,2024-08-05,False,"es tiempo de mujeres, dijo amlo. anoche nos reunimos con senadoras, diputadas, alcaldesas y militantes de morena.",954,2226,10385,123, 1:01 AM UTC,CFKArgentina,Cristina Fernández de Kirchner
17,https://twitter.com/CFKArgentina/status/1820115625886339360#m,Cristina Kirchner,2024-08-04,False,"ayer visitamos la libreria ""rosario castellanos"" del fondo de cultura economica junto a su presidente, el entranable companero paco ignacio taibo ii.",901,2292,10231,82, 3:12 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
18,https://twitter.com/CFKArgentina/status/1819860749860085793#m,Cristina Kirchner,2024-08-03,False,por eso queria hoy culminar este fantastico curso con esta utopia desde el sur: justicia y paz. un compromiso de todas y de todos.,153,915,2659,23, 10:19 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
19,https://twitter.com/CFKArgentina/status/1819860740238651423#m,Cristina Kirchner,2024-08-03,False,"esto hace a la responsabilidad de quienes conducen los estados en la region garantizar la paz. sin paz no hay ningun presupuesto ni de justicia, ni de economia, ni de ninguna otra cosa.",119,821,2289,22, 10:19 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
20,https://twitter.com/CFKArgentina/status/1819860731203842503#m,Cristina Kirchner,2024-08-03,False,"la otra utopia es la de la paz y hay que unirla a la de la justicia. que no nos trasladen ningun conflicto. si ademas de ser un continente desigual tenemos enfrentamientos y nos convertimos en escenario de conflictos globales, estamos fritos.",32,599,1522,11, 10:19 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
21,https://twitter.com/CFKArgentina/status/1819860722269970639#m,Cristina Kirchner,2024-08-03,False,"una de las dos utopias que creo que tenemos que proponer desde el sur es la justicia. reformar una justicia que esta totalmente cooptada por el poder economico, presionada por los medios hegemonicos de comunicacion, porque cada uno tiene un muerto en el ropero, entonces no hay juez o jueza que se anime a determinadas cosas.",57,689,1578,16, 10:19 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
22,https://twitter.com/CFKArgentina/status/1819860710811226619#m,Cristina Kirchner,2024-08-03,False,"?como nos fue con la utopia de la libertad? muy bien. triunfamos, ganamos. pero ?como nos fue con la de la igualdad? y... no nos fue muy bien. hoy nuestro continente es el mas desigual.",47,656,1657,9, 10:19 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
23,https://twitter.com/CFKArgentina/status/1819860702913269860#m,Cristina Kirchner,2024-08-03,False,"si tengo que definir la utopia del siglo 20 en nuestra region, la utopia que animo a esos movimientos, creo que seria la lucha por la igualdad. la gran utopia que tuvo la region, con distintos movimientos y caracterizaciones.",63,611,1517,7, 10:19 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
24,https://twitter.com/CFKArgentina/status/1819860694898033075#m,Cristina Kirchner,2024-08-03,False,"estoy muy emocionada por el afecto y por el carino, la verdad es que es una caricia al alma. agradezco al @infpmorena y al @inst_patriaar que fueron los coordinadores de este encuentro.",1559,2880,12582,127, 10:19 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
25,https://twitter.com/CFKArgentina/status/1819816777435447468#m,Cristina Kirchner,2024-08-03,False,"en vivo desde mexico. una utopia desde el sur. propuestas para el futuro de la region. cierre del curso internacional ""realidad politica y electoral de america latina"". https://nitter.net/i/broadcasts/1lpkqoamyvnjb",1234,2590,8345,193, 7:25 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
26,https://twitter.com/CFKArgentina/status/1819720074040668188#m,Cristina Kirchner,2024-08-03,False,"comparto con ustedes el programa completo del curso internacional ""realidad politica y electoral de america latina"" que comenzo el 4 de mayo de este ano y finaliza el dia de hoy, sabado 3 de agosto, con la decimocuarta y ultima ponencia a mi cargo, titulada ""una utopia desde el sur. propuestas para el futuro de la region"". podes verlo en vivo a partir de las 15 hs. en youtube. https://piped.video/z3tt9em8fry",1758,2910,9198,214, 1:00 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
27,https://twitter.com/CFKArgentina/status/1816978074740854900#m,Cristina Kirchner,2024-07-26,False,26 de julio de 1952. 20:25 hs. hace exactamente 72 anos cambiaba la historia argentina.,1950,5707,28221,193, 11:25 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
28,https://twitter.com/CFKArgentina/status/1814307647031562533#m,Cristina Kirchner,2024-07-19,False,"?como dijo senor ministro? ?no era que los impuestos eran un robo del estado, el peso un excremento y el dolar, la moneda que le iban a dar a los argentinos...? mas perdidos que turco en la neblina.",4025,12569,46009,826, 2:33 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
29,https://twitter.com/CFKArgentina/status/1812701746654826873#m,Cristina Kirchner,2024-07-15,False,por fin una buena noticia: argentina otra vez campeon de america. !vamos todavia!,3158,12401,84308,818, 4:12 AM UTC,CFKArgentina,Cristina Fernández de Kirchner
30,https://twitter.com/CFKArgentina/status/1812271788807856531#m,Cristina Kirchner,2024-07-13,False,hace unos instantes acabo de ver en la television imagenes terribles. toda mi solidaridad con el ex presidente de los ee.uu. y actual candidato donald trump por el atentado que sufriera hace unas horas en el estado de pensilvania. creo que no es necesario aclarar que no tenemos las mismas ideas: el respeto a la vida de los semejantes esta por sobre toda diferencia politica o ideologica.,2265,4422,29937,475, 11:43 PM UTC,CFKArgentina,Cristina Fernández de Kirchner
